epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1463,1.50538,4.07128,1.52828,0.36968,0.26158,0.15883,0.07296,1.5856,3.20312,1.65309,0.000331481,0.000331481,0.000331481
2,148.395,1.51181,3.34973,1.5058,0.17205,0.20474,0.13159,0.05428,1.78191,3.49303,1.74431,0.000661524,0.000661524,0.000661524
3,216.366,1.537,3.03906,1.49837,0.40214,0.32756,0.23587,0.10729,1.66363,2.61929,1.63937,0.000988266,0.000988266,0.000988266
4,284.643,1.5034,2.77818,1.465,0.43116,0.30953,0.27132,0.11896,1.61569,2.69921,1.53882,0.00098515,0.00098515,0.00098515
5,351.918,1.50419,2.62487,1.45768,0.32661,0.35984,0.30555,0.1448,1.62685,2.54515,1.56434,0.0009802,0.0009802,0.0009802
6,419.291,1.48232,2.46528,1.43175,0.49992,0.41819,0.38097,0.17469,1.61015,2.22888,1.52626,0.00097525,0.00097525,0.00097525
7,486.945,1.47783,2.34715,1.40653,0.56735,0.40358,0.41628,0.18289,1.63629,2.18699,1.5106,0.0009703,0.0009703,0.0009703
8,554.062,1.47143,2.28569,1.42823,0.52393,0.4172,0.4012,0.18815,1.59265,2.26882,1.50454,0.00096535,0.00096535,0.00096535
9,621.6,1.48357,2.23911,1.41015,0.48379,0.39366,0.43872,0.21845,1.56393,2.08955,1.48431,0.0009604,0.0009604,0.0009604
10,688.824,1.45454,2.15817,1.40533,0.5656,0.46624,0.45952,0.20881,1.62491,2.00602,1.49101,0.00095545,0.00095545,0.00095545
11,756.896,1.44369,2.15833,1.39498,0.29726,0.36319,0.30009,0.12048,1.89745,2.60383,1.64435,0.0009505,0.0009505,0.0009505
12,824.145,1.44674,2.11349,1.4068,0.50805,0.51781,0.50552,0.23525,1.66353,1.83919,1.4845,0.00094555,0.00094555,0.00094555
13,902.196,1.46267,2.03578,1.41003,0.50286,0.51765,0.50821,0.24154,1.62205,1.9615,1.49274,0.0009406,0.0009406,0.0009406
14,977.56,1.42745,2.04159,1.39047,0.58123,0.46346,0.52262,0.24201,1.59933,1.87377,1.42015,0.00093565,0.00093565,0.00093565
15,1045.9,1.43139,1.96493,1.38316,0.67897,0.4538,0.52463,0.26188,1.61667,1.76763,1.46,0.0009307,0.0009307,0.0009307
16,1113.35,1.44538,1.96105,1.38884,0.47207,0.52497,0.52584,0.25054,1.61911,1.75406,1.45297,0.00092575,0.00092575,0.00092575
17,1181.17,1.42894,1.90752,1.3751,0.30505,0.34049,0.311,0.12861,2.14504,2.34161,1.72304,0.0009208,0.0009208,0.0009208
